name,ASIN,Brand,Best_Sellers_Rank,Best_Sellers_Ranking_Fields,Product_Dimensions_inches,Item_Weight_pounds,Date_First_Available,Is_Discontinued_By_Manufacturer,Item_model_number,Batteries,Voltage,Series,National_Stock_Number,Chipset_Brand,Batteries_Required,Wireless_Type,Standing_screen_display_size,Max_Screen_Resolution,Part_Number,Item_Package_Quantity,Color,Number_of_USB_2point0_Ports,Number_of_USB_3point0_Ports,Computer_Memory_Type,Average_Battery_Life_in_hours,Processor_Count
"FPSMOUPD Extended Gaming Mouse Pad with Stitched Edges, Akatsuki Clan Large Mousepad with Non-Slip Rubber Base for Work & Gaming, Office & Home, 31.5x11.8x0.12inch",B08912G8BR,,21373,Office,12.09 x 11.54 x 1.46 ,2.416,2020-05-23,No,,,,,,,,,,,,,,,,,,
Logitech G604 Lightspeed Wireless Gaming Mouse,B07QN369XX,Logitech G,208,Video,1.77 x 3.14 x 5.11,1.472,2019-09-16,,910-005622,1 AA batteries required. (included),,Logitech G604 Lightspeed Wireless Gaming Mouse,,,,,,,,,,,,,,
"Iron Man Mouse, Wireless Computer Mouse 2.4G Wireless Optical Gaming Mice with Nano USB Receiver, 3 Adjustable DPI Levels, Click Silent Mouse for Notebook, PC, Laptop, Computer, MacBook - Black",B08GX47NCG,,1194,Computer,4.88 x 3.43 x 1.77 ,0.512,2020-08-28,,,,,,,,,,,,,,,,,,,
"Lenovo 300 Wireless Compact Mouse, Black, 1000 dpi, Ultra-portable design, Up to 12 months battery life, GX30K79402",B01MXFA41N,Lenovo,843,Computer,1.26 x 2.2 x 3.86,0.672,2016-11-11,No,GX30K79402,1 AA batteries required. (included),,GX30K79402,,,,,,,,,Black,,,,,
Macally Wireless Bluetooth Mouse Rechargeable - Simple Workspace Necessity - Quiet Click Buttons and 300mAh Battery (Up to 3 Months) - Silent Wireless Mouse for Mac |PC|iOS|Android - DPI 800/1200/1600,B08CBC64S3,,686,Computer,7.44 x 4.37 x 1.69 ,0.736,2020-11-20,,BTTOPBAT,1 Lithium ion batteries required. (included),,,,,,,,,,,,,,,,
"Wireless Keyboard and Mouse, Jelly Comb 2.4G Slim Compact Quiet Small Keyboard and Mouse Combo for Windows, Laptop, PC, Notebook-Black and Gray",B07VKL2V2M,,56,Computer,14.53 x 5.2 x 1.46 ,2.096,2019-07-23,,,,,,,,,,,,,,,,,,,
Macally Wireless Bluetooth Mouse for Mac and PC - Quiet Click Buttons with Slim Comfortable Body - Silent Wireless Mouse with DPI 800/1200/1600 - Workflow Enhancing Bluetooth Computer Mouse (White),B088PBK51Q,,690,Computer,6.97 x 4.21 x 1.3 ,0.6559999999999999,2020-10-02,,BTDYNAMOUSEW,,,,,,,,,,,,,,,,,
Marphe Mouse Pad Green Pattern Headset Music Panda Mousepad Non-Slip Rubber Gaming Mouse Pad Rectangle Mouse Pads for Computers Laptop,B07MKH7H3S,Marphe,7803,Office,10.23 x 8.26 x 0.12,0.5376,2018-12-25,No,,,,,,,,,,,,,Rectangle 16,,,,,
Hard Travel Case for Logitech MX Ergo M575 Advanced Wireless Trackball Mouse by co2CREA (Case for Mouse),B075JF2S7H,,467,Computer,6 x 5 x 3,0.6368,2017-09-11,No,8541660705,,,,,,,,,,,,,,,,,
"Perixx PERIMICE-802B Wireless Bluetooth Mouse - Portable Design for Windows, iOS, and Android Tablet - Black Rubber Black",B06XVY5X46,Perixx,396,Computer,3.82 x 2.38 x 1.33,0.2816,2017-03-27,No,PERIMICE-802,2 AAA batteries required.,,,,,,,,,,,Black,,,,,
"RGB Lightweight Gaming Mouse, Programmable 7 Buttons, Ergonomic LED Backlit USB Gamer Mice Computer Laptop PC, for Windows Mac OS Linux, Pink",B08HGLZZJC,,4100,Video,7.2 x 4.17 x 0.51 ,0.456,2020-09-04,,,,,,,,,,,,,,,,,,,
Blue Lotus Flower Round Mouse Pad Personalized Design Mouse Pads Small Size Non-Slip Rubber Base Mousepad for Laptop & Computer,B08RC7864X,,12167,Office,7.9 x 7.9 x 0.12,0.35200000000000004,2020-12-26,,,,,,,,,,,,,,,,,,,
HIHUHEN Large Mouse pad | Gaming Mouse Mat/Mouse Pad 23.6x11.8x0.12 Inch | Table mat/Large Size | Improved Precision and Speed | Rubber Base for Stable Grip on Smooth Surfaces Non-Slip (60x30Black004),B07T45YNFM,,5396,Office,12.1 x 2.5 x 1.8 ,1.7919999999999998,2019-04-24,,,,,,,,,,,,,,,,,,,
"Large RGB Gaming Mouse Pad - REAWUL 14 Modes Oversized Glowing Led Extended Mousepad, Anti-Slip Rubber Base and Waterproof Surface, Extra Large Soft Led Computer Keyboard Mouse Mat - 31.5 x 11.8in",B07SRS4PYR,REAWUL,4098,Office,31.5 x 11.8 x 0.2,1.54,2019-06-09,,RWMP-003,,,,,,,,,,,,Black,,,,,
"Wireless Portable Mobile Mouse Optical Mice with USB Receiver, 3 Adjustable DPI Levels, Buttons for Notebook, PC, Laptop, Computer -Black",B08MQ9GMP2,,1206,Computer,4.37 x 2.6 x 1.65 ,0.384,2020-11-04,,,,,,,,,,,,,,,,,,,
Razer Firefly Hard V2 RGB Gaming Mouse Pad: Customizable Chroma Lighting - Built-in Cable Management - Balanced Control & Speed - Non-Slip Rubber Base,B07ZDWHL4M,Razer,484,Video,10.84 x 13.99 x 0.14,1.7,2019-10-30,No,RZ02-03020100-R3U1,,,Firefly V2 Hard,,,,,,,,,Black,,,,,
Star Wars Mouse Pad Office Mouse Pad Gaming Mouse Pad Mat Mouse Pad,B08L6TFK3W,,22129,Office,9.45 x 7.87 x 0.1,0.16,2017-07-24,,KK-Mouse pad,,,,,,,,,,,,,,,,,
"Cute Kids Mouse Pad, Rose Gold Marble Mouse Pads for Girls Wireless Office Laptop Computer Desk Mousepad with Designs Decorative for Women",B08Q9SNY72,IMAYONDIA,6864,Office,9.5 x 7.9 x 0.12,0.8320000000000001,2020-12-10,,,,,,,,,,,,,,Rose Gold Marble,,,,,
"Wireless Keyboard and Mouse Combo, WisFox 2.4G Full-Size Slim Thin Wireless Keyboard Mouse for Windows, Computer, Desktop, PC, Laptop Mac (Black)",B07XXNJX9C,,51,Computer,16.13 x 4.7 x 0.8,1.44,2019-09-15,,,,,,,,,,,,,,,,,,,
"USB Computer Mouse Wired, Light Up Mouse for Laptop with RGB 7 Colors Breathing Light,4 DPI Adjustable up to 3200, 6 Buttons, Ergonomic Gamer PC Mouse for Windows/Mac/Sega Dreamcast（M738）",B07VFMNLWM,,2726,Video,5.91 x 4.41 x 1.85 ,1.168,2019-08-05,,,,,,,,,,,,,,,,,,,
